,,,環境地球科學 GP3088,,,,,3,,,
,,,地球物理學 I : 地震學 GP3089,,,,,3,,,
,,,工程地震學及實習 GP3092,,,,,3,,,
,,,天氣學與天氣分析 AP4016,,,,,,,3,
,,,物聯網與結構物智慧監測技術 SD6037/CI5018,,,,,,,3,
,,,工程地震學實務分析 GP7036,,,,,,,2,
,,,水資源工程 CI3056,,,3,,,,,
,,,環境流體力學 CI7003,,,3,,,,,
,,,環境化學 AP2042,,,3,,,,,
,,,工程經濟學 CI4020,,,3,,,,,
,,,雲端地理資訊系統通論 CI3065,,,3,,,,,
,,,環境時空資料分析與資料視覺化 CI5014,,,3,,,,,
,,,環境與防災監測實務 CI5013,,,3,,,,,
,,,災害管理概論 CI5027,,,3,,,,,
,,,工址調查 CI5031,,,3,,,,,
,,,地震減災通論 CI7105,,,3,,,,,
,,,地震工程 CI6042,,,3,,,,,
,,,山坡地工程 CIA059,,,3,,,,,
,,,災害防救體系與法令 CIA043,,,3,,,,,
,,,綠營建產業永續發展 CI6100,,,3,,,,,
,,其他永續防災相關課程(6)-指導教授建議之領域相關課程,,,,,,,,,
,自主跨域選修 (36),,學生需在指導教授指導下，自主擬訂符 合學習方向之「選修課程計畫書」，並 經「教學與輔導委員會」審查通過後， 始可依「選修課程計畫書」選課修讀。,,,,,,,,
備註,領域必修科目計30學分，領域選修科目學分計36學分，工程數學 I 與 II 需修習同一學系開授之課程，最低畢業學 分：128學分。,,,,,,,,,,
