理學院 理學院學士班生命科學領域應修科目表 (114學年度入學新生適用),,,,,,,,,,
科目,,課名及課號,學分數,,,,,,,
,,,第一學年,,第二學年,,第三學年,,第四學年,
,,,上,下,上,下,上,下,上,下
領域 專長 必修,,生物化學 LS2001 / LS2002,,,3,3,,,,
,,植物生理學 LS3001,,,,3,,,,
,,動物生理學 LS3018,,,,,,4,,
領域 專長 選修,,生物統計學-R語言應用 HT3001,,,,,3,,,
,,昆蟲世界 LS1018,,2,,,,,,
,,遺傳學 LS2010,,,,,3,,,
,,細胞學 LS2019 / LS2020,,,,,2,2,,
,,微生物學 LS3003,,,3,,,,,
,,海洋生物學 LS3016,,,,,,2,,
,,親緣樹形圖的分析與應用 LS3030,,,,,3,,,
,,分子生物學 LS3035 / LS3036,,,,,2,2,,
,,生態學 LS4015,,,,,,,3,
,,分子演化及親源演化關係 LS5016,,,,,3,,,
,,植物組織培養 LS5032,,,,,3,,,
,,環境生物學 LS5037,,,,,3,,,
,,癌症生物學 LS5038,,,,,3,,,
,,進階生物演化 LS5055,,,,,3,,,
,,生物技術I LS6024,,,,,3,,,
,,生物資訊及應用 LS7016,,,,,3,,,
,,前瞻植物與微生物學 LS7021,,,,,3,,,
備 註,1,第一領域專長需修習至少33學分(必修13學分)。英文組第一領域專長需修習至少24學分(必修13學分)。,,,,,,,,
,2,第二領域專長需修習至少20學分(必修13學分)。英文組第二領域專長需修習至少13學分(必修13學分)。,,,,,,,,
