電 機 、 通 訊 課 程 流 程 實 驗 群 組 及 * 記 號 課 程 列 表,實驗群組 (選修9學分課程，且須至少跨三類別之課程),,
,類別,課號及課名,學分數
,電子類別,EE3044 數位系統設計與實作,3
,,EE3053 電子專題,3
,固態類別,EE4027 奈米電子專題實驗,3
,,EE4042 光電元件專題實驗,3
,智慧系統類別,EE3046 微算機原理與實作,3
,,EE3055 控制工程實驗,3
,,EE8023 生醫工程原理與實驗,3
,電波類別,EE4036 電磁波實驗,3
,電通訊類別,CO4009 通訊傳輸系統實驗,3
,,CO6061 MIMO無線通訊,3
,資通訊類別,CO3024 通訊網路實驗,3
,,CO4010 物聯網技術,3
,「*」記號課程 (選修18學分，且須至少跨三類別之課程),,
,類別,課號及課名,學分數
,電子類別,EE2007 資料結構,3
,,EE3001 電子學III,3
,,EE3004 通訊原理,3
,,EE3032 超大型積體電路導論,3
,,EE3035 計算機組織,3
,,EE4032 類比積體電路導論,3
,固態類別,EE2023 近代物理,3
,,EE3001 電子學III,3
,,EE3029 固態電子學導論,3
,,EE3034 固態電子元件,3
,智慧系統類別,EE3003 控制系統,3
,,EE3010 電機機械,3
,,EE3014 電力系統,3
,,EE3042 生醫工程導論,3
,,EE3054 深度學習程式設計,3
,電波類別,EE3001 電子學III,3
,,EE3004 或 CO3007 通訊原理或通訊原理I,3
,,EE3038 微波工程,3
,,EE4013 或 CO3008 通訊原理或通訊原理Ⅱ,3
,,EE4034 微波系統導論,3
,,EE4038 天線工程導論,3
,電通訊類別,EE3001 電子學III,3
,,EE3032 超大型積體電路導論,3
,,EE4032 類比積體電路導論,3
,,EE4034 微波系統導論,3
,,EE4038 天線工程導論,3
,,CO4003 數位訊號處理概論,3
,,CO6005 調適性通訊訊號處理,3
,,CO6019 數位通訊,3
,,CO6025 隨機程序,3
,,CO6041 數位影像處理,3
,,CO6048 檢測與估計理論,3
,資通訊類別,CO3019 或 CE2003 離散數學,3
,,CO2012 或 CE2002 或 EE2007 資料結構,3
,,CO3006 微算機原理,3
,,CO2014 或 CE3005 演算法,3
,,CO3005 網路概論,3
,,EE3054 深度學習程式設計,3
,,CO3020 或 CE3001 或 EE3035 計算機組織,3
,,CO6032 排隊原理,3
,,CO6063 資料科學,3
